Category,Publications,Citations,CROSSREF Citations,h-index
Central Library,1,2,0,1
Centre for Energy and Environment,20,483,412,9
Department of Biotechnology,231,4310,3667,35
Department of Chemical Engineering,376,6006,4998,40
Department of Chemistry,1016,26015,24038,70
Department of Civil Engineering,565,7152,5329,39
Department of Computer Science and Engineering,840,8663,7349,39
Department of Electrical Engineering,51,387,316,12
Department of Electronics and Communication Engineering,1090,14535,9966,64
Department of Humanities and Management,84,1476,1306,16
Department of Industrial and Production Engineering,798,21727,17606,68
Department of Information Technology,222,2593,2220,26
Department of Instrumentation and Control Engineering,466,4620,3970,36
Department of Mathematics,283,2793,2269,24
Department of Mechanical Engineering,713,10974,9130,51
Department of Physics,712,18910,11909,68
Department of Textile Technology,631,4944,3890,31
